,Company,Sub-Sector,MarketCap,CMP,PE,Ret_1M,Ret_6M,Ret_1Y,PB,ROE,ROCE
227,Endurance Technologies Ltd,Auto Parts,37583.71,"2,695.20",44.94,-8.39,12.5,12.3,6.57,15.64,17.74
228,Gujarat Fluorochemicals Ltd,Specialty Chemicals,37299.57,"3,397.00",68.31,-8.04,-15.36,-12.36,5.11,8.25,10.64
229,Tata Investment Corporation Ltd,Asset Management,37271.02,726.55,119.43,-12.93,15.85,8.97,1.2,1.02,1.06
230,Poonawalla Fincorp Ltd,Consumer Finance,36858.03,459.75,-374.8,-6.09,16.01,27.69,4.51,-1.2,-0.56
231,Blue Star Ltd,Home Electronics & Appliances,36703.94,"1,746.70",62.08,-11.78,12.55,-5.49,11.96,20.82,25.23
232,IPCA Laboratories Ltd,Pharmaceuticals,36234.04,"1,406.20",49.12,11.72,-4.06,-12.5,4.32,9.16,13.03
233,AWL Agri Business Ltd,FMCG - Foods,35957.06,271.45,29.33,5.65,4.91,-8.73,3.82,13.82,21.76
234,ACC Ltd,Cement,35936.85,"1,869.10",14.96,3.46,-4.56,-12.86,1.94,13.77,16.38
235,Apar Industries Ltd,Electrical Components & Equipments,35719.67,"8,932.00",43.49,1.92,17.19,-6.59,7.93,19.6,31.42
236,AIA Engineering Ltd,Industrial Machinery,34851.43,"3,825.50",32.86,11.51,13.38,10,5.02,15.59,19.79
237,Aster DM Healthcare Ltd,Hospitals & Diagnostic Centres,34522.43,660,6.42,-5.32,20.79,50.24,9.45,123.89,99.19
238,Cholamandalam Financial Holdings Ltd,Diversified Financials,34293.80,"1,845.00",15.78,-8.55,0.83,22.38,1.27,8.86,3.33
239,Godrej Industries Ltd,Diversified Chemicals,34279.82,"1,022.30",34.93,-6.19,-12.48,-3.13,1.61,5.38,10.58
240,Central Bank of India Ltd,Public Banks,34223.35,38.34,8.7,-3.47,2.82,-32.39,0.93,11.33,7.47
241,NLC India Ltd,Metals - Diversified,33806.20,240.05,12.9,-7.55,-0.08,-7.74,1.54,12.69,9.82
242,Global Health Ltd,Hospitals & Diagnostic Centres,33593.11,"1,249.60",69.78,-6.88,3.53,13.54,9.92,15.3,17.4
243,Apollo Tyres Ltd,Tires & Rubber,33454.99,522.05,29.84,5.66,5.43,3.62,2.27,7.82,10.15
244,CRISIL Ltd,Stock Exchanges & Ratings,33189.33,"4,463.80",48.52,-8.7,-12.82,-15.5,12.94,28.78,32.65
245,Central Depository Services (India) Ltd,Stock Exchanges & Ratings,33180.84,"1,574.10",63.01,-0.4,7.16,1.26,18.39,31.81,37.66
246,Go Digit General Insurance Ltd,Insurance,32751.80,355.85,77.07,1.05,8.96,1.22,7.59,12.08,9.11
247,KPIT Technologies Ltd,IT Services & Consulting,32598.31,"1,172.00",38.83,0.87,-12.24,-14.21,11.19,33.09,36.24
248,Tata Elxsi Ltd,Software Services,32585.86,"5,164.00",41.51,-5.73,-19.71,-23.96,11.39,29.26,34.31
249,Thermax Limited,Industrial Machinery,32298.31,"2,882.80",50.91,-12.76,-17.24,-35.2,6.53,13.52,15.71
250,Honeywell Automation India Ltd,Electronic Equipments,32063.78,"34,955.00",61.24,-2.28,-6.05,-15.59,7.94,13.7,17.31
251,Motherson Sumi Wiring India Ltd,Cables,31560.08,46.79,52.09,1.6,18.94,13.13,18.58,35.9,43.19
252,NBCC (India) Ltd,Construction & Engineering,31446.90,117.59,58.11,4.08,2.91,24.09,11.77,21.29,26.77
253,Sona BLW Precision Forgings Ltd,Auto Parts,31446.65,501.3,52.31,5.74,-8.02,-25.46,5.57,14.24,13.84
254,Ajanta Pharma Ltd,Pharmaceuticals,31423.81,"2,509.20",34.14,3.62,-3.19,-16.27,8.29,25.02,30.96
255,ITI Ltd,Telecom Equipments,31307.13,311.05,-145.69,-1.74,10.63,11.55,19.27,-12.61,0.49
256,SJVN Ltd,Renewable Energy,31198.64,77.88,38.06,-11.02,-23.62,-31.07,2.2,5.8,4.47
257,Garden Reach Shipbuilders & Engineers Ltd,Shipbuilding,31065.36,"2,710.10",58.9,3.61,-0.63,87.8,14.94,28.11,32.39
258,Exide Industries Ltd,Batteries,30893.25,361.85,38.86,-6.78,-6.45,-15.52,2.22,5.93,8.61
259,Delhivery Ltd,Logistics,30348.52,410.65,187.22,-13.71,13.27,19.43,3.22,1.75,2.66
260,Hindustan Copper Ltd,Mining - Copper,30296.86,320.2,65.14,-9.58,31.31,14.85,11.39,18.81,21.29
261,LIC Housing Finance Ltd,Home Financing,30030.69,548.1,5.52,-6.11,-9.16,-12.65,0.83,16.05,2.51
262,Navin Fluorine International Ltd,Specialty Chemicals,29969.76,"5,782.50",103.85,14.53,35.28,68.54,11.41,11.52,11.7
263,Gland Pharma Ltd,Pharmaceuticals,29507.88,"1,783.30",42.24,-7.74,16.74,0.53,3.22,7.82,11.5
264,Mangalore Refinery and Petrochemicals Ltd,Oil & Gas - Refining & Marketing,29236.85,165.79,520.23,14.54,16.76,6.58,2.25,0.43,5.11
265,Star Health and Allied Insurance Company Ltd,Insurance,29215.23,496.25,45.23,1.89,7.03,4.54,4.14,9.61,11.66
266,Aegis Vopak Terminals Ltd,Oil & Gas - Storage & Transportation,28630.50,254.95,225.01,-7.6,5.35,5.35,14.91,8.72,6.14
267,New India Assurance Company Ltd,Insurance,28497.22,172.93,27.49,-8.02,-6.21,-4.14,0.98,3.61,2.31
268,Inventurus Knowledge Solutions Ltd,Health Care Equipment & Supplies,28073.29,"1,629.80",57.76,9.64,3.82,-14.03,15.69,32.98,29.09
269,Indraprastha Gas Ltd,Gas Distribution,27858.63,194.85,16.22,-5.77,-5.6,20.22,2.62,16.93,19.6
270,Gujarat Gas Ltd,Gas Distribution,27642.31,398.85,24.07,-3.18,-13.57,-14.45,3.26,14.17,16.53
271,Gillette India Ltd,FMCG - Personal Products,27519.85,"8,406.00",65.89,-7.93,-10.47,-19.51,26.9,41.88,49.54
272,J B Chemicals and Pharmaceuticals Ltd,Pharmaceuticals,27516.87,"1,771.30",41.72,2.73,4.07,0.96,8.01,20.75,24.75
273,Tata Technologies Ltd,IT Services & Consulting,27505.23,669.5,40.63,-2.03,-12.3,-29.01,7.68,19.91,23.64
274,Krishna Institute of Medical Sciences Ltd,Hospitals & Diagnostic Centres,27147.43,675.15,70.6,-6.18,0.64,13.15,11.22,17.04,13.57
275,Asahi India Glass Ltd,Auto Parts,26834.91,"1,029.25",72.28,10.69,41.26,55.55,10.16,14.93,13.02
276,Aegis Logistics Ltd,Oil & Gas - Storage & Transportation,26753.22,766.55,40.33,-2.82,-5.04,-9.54,4.68,13.03,11.85
277,PTC Industries Ltd,Iron & Steel,26626.77,"17,876.00",436.43,2.37,14.19,49.06,19.2,6,5.96
278,IRB Infrastructure Developers Ltd,Construction & Engineering,26088.48,43.28,4.03,-1.01,-15.19,-15.39,1.32,38.61,17.28
